caseid,dAge,dAncstry1,dAncstry2,iAvail,iCitizen,iClass,dDepart,iDisabl1,iDisabl2,iEnglish,iFeb55,iFertil,dHispanic,dHour89,dHours,iImmigr,dIncome1,dIncome2,dIncome3,dIncome4,dIncome5,dIncome6,dIncome7,dIncome8,dIndustry,iKorean,iLang1,iLooking,iMarital,iMay75880,iMeans,iMilitary,iMobility,iMobillim,dOccup,iOthrserv,iPerscare,dPOB,dPoverty,dPwgt1,iRagechld,dRearning,iRelat1,iRelat2,iRemplpar,iRiders,iRlabor,iRownchld,dRpincome,iRPOB,iRrelchld,iRspouse,iRvetserv,iSchool,iSept80,iSex,iSubfam1,iSubfam2,iTmpabsnt,dTravtime,iVietnam,dWeek89,iWork89,iWorklwk,iWWII,iYearsch,iYearwrk,dYrsserv
10010,5,11,1,0,0,1,3,2,2,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,6,0,2,0,0,0,1,4,1,2,1,0,2,0,2,1,0,4,0,0,0,1,1,0,4,21,0,1,0,1,0,0,0,0,0,4,0,2,1,1,0,11,1,0
10011,4,0,1,0,0,1,5,2,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,7,0,2,0,0,0,1,4,1,2,1,0,2,0,2,1,3,2,1,0,0,1,1,0,2,10,0,1,0,1,0,1,0,0,0,2,0,2,1,1,0,10,1,0
10012,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,112,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
10013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,121,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
10014,3,11,1,0,0,6,4,2,2,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,3,0,2,0,3,0,1,4,2,2,5,0,2,0,1,2,4,2,10,0,0,1,1,0,2,10,0,5,0,1,0,1,0,0,0,3,0,1,1,1,0,7,1,0
10015,4,3,1,0,0,1,3,2,2,1,0,0,0,3,5,0,3,0,0,1,0,0,0,0,4,0,1,0,0,1,1,2,2,2,2,0,2,0,2,0,0,4,0,0,0,1,1,0,4,10,0,1,3,1,1,0,0,0,0,3,0,2,1,1,0,11,1,1
10016,4,11,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4,0,0,4,1,1,0,0,1,0,0,2,0,0,12,0,0,0,6,0,2,23,0,6,0,1,0,0,0,0,3,0,0,0,2,0,0,5,7,0
10017,7,1,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,1,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,6,6,0
10018,4,0,1,0,0,1,2,2,2,0,0,0,0,3,3,0,3,0,0,1,0,0,0,0,4,0,2,0,0,0,1,4,1,2,2,0,1,0,2,0,0,4,0,0,0,1,1,0,4,10,0,1,0,3,0,0,0,0,0,5,0,2,1,1,0,12,1,0
10019,6,1,1,0,0,3,3,2,2,0,0,0,0,3,3,0,3,0,0,1,0,0,0,0,9,1,2,0,0,0,1,2,1,2,1,0,2,0,2,2,0,4,0,0,0,2,1,0,4,10,0,1,8,1,0,0,0,0,0,1,0,2,1,1,0,14,1,1
10020,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,121,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10021,6,11,1,0,0,1,1,2,2,0,0,0,0,4,5,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,1,3,1,2,1,0,2,0,2,0,0,3,0,0,0,1,1,0,3,10,0,1,0,1,0,0,0,0,0,4,0,2,1,1,0,10,1,0
10022,3,1,2,0,0,1,5,2,2,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,1,4,1,2,6,0,2,0,2,0,0,2,2,0,0,1,1,0,2,10,0,2,0,1,0,0,2,1,0,5,0,2,1,1,0,10,1,0
10023,3,9,1,0,3,1,2,2,2,2,0,1,0,3,3,5,1,0,0,1,0,0,0,0,5,0,1,0,4,0,2,4,1,2,2,0,2,3,2,2,4,2,2,0,0,0,1,0,3,51,0,6,0,1,0,1,0,0,0,5,0,2,1,1,0,11,1,0
1058039,6,1,1,0,0,6,0,2,2,0,0,0,0,5,5,0,0,1,0,1,0,0,0,0,9,1,2,0,0,0,11,2,1,2,1,0,2,0,2,1,0,2,0,0,0,0,1,0,3,10,0,1,8,1,0,0,0,0,0,0,0,1,1,1,0,10,1,1
1058040,6,9,1,0,3,1,2,2,2,1,0,4,0,3,3,5,2,0,0,0,0,0,0,0,9,0,1,0,0,0,1,4,2,2,2,0,2,3,2,2,2,3,1,0,0,4,1,0,3,51,0,1,0,1,0,1,0,0,0,4,0,2,1,1,0,11,1,0
1058041,4,1,2,0,0,1,4,2,2,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,3,0,2,0,4,0,1,4,1,2,5,0,1,0,1,1,0,2,0,0,0,2,1,0,2,22,0,6,0,1,0,0,0,0,0,1,0,1,1,1,0,10,1,0
1058042,7,1,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,0,0,2,2,2,0,0,2,0,2,1,0,0,0,0,0,0,6,0,2,23,0,1,9,1,0,0,0,0,3,0,0,0,2,2,1,7,6,2
1058043,5,2,2,0,0,4,0,1,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,9,0,2,2,2,0,0,2,1,2,1,0,2,0,2,1,0,3,0,0,0,0,6,0,3,22,0,4,4,1,0,0,0,0,3,0,1,2,1,2,0,11,1,2
1058044,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,2,2,4,0,2,0,111,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
1058045,6,1,1,0,0,1,0,1,1,0,0,4,0,3,0,0,2,0,0,0,1,0,1,1,4,0,2,2,1,0,0,4,1,1,6,0,1,0,2,1,4,3,0,0,0,0,6,0,4,21,0,3,0,1,0,1,0,0,3,0,0,1,1,2,0,11,2,0
1058046,2,11,1,0,0,1,2,2,2,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,4,0,2,0,4,0,1,4,2,2,6,0,2,0,1,1,0,2,0,0,0,1,1,0,2,10,0,6,0,2,0,0,0,0,0,3,0,1,1,1,0,10,1,0
1058047,7,1,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,0,4,0,1,0,0,0,6,0,3,23,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,14,5,0
1058048,5,1,1,0,0,3,3,2,2,0,0,3,0,3,3,0,3,0,0,1,0,0,0,0,9,0,2,0,2,0,1,4,1,2,1,0,2,0,2,0,2,4,0,0,0,1,1,0,4,10,0,4,0,1,0,1,0,0,0,1,0,2,1,1,0,15,1,0
1058049,5,6,2,0,0,3,3,2,2,0,0,2,0,4,4,0,3,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,2,2,1,0,2,0,2,1,1,4,1,0,0,1,1,0,4,22,0,1,0,3,0,1,0,0,0,5,0,1,1,1,0,14,1,0
1058050,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,2,0,0,2,0,1,1,0,0,2,0,141,0,0,1,0,10,1,6,0,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0
1058051,5,11,1,0,4,1,4,2,2,1,0,0,0,3,5,7,4,0,0,0,0,0,0,0,5,0,1,0,0,0,1,4,1,2,1,0,2,3,2,1,0,5,1,0,0,1,1,0,5,52,0,1,0,1,0,0,0,0,0,4,0,2,1,1,0,17,1,0
1058052,4,1,1,0,0,2,3,2,2,0,0,1,0,3,3,0,3,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,2,2,1,0,2,0,2,2,4,4,1,0,0,2,1,0,4,21,0,1,0,1,0,1,0,0,0,5,0,2,1,1,0,16,1,0
1058053,4,11,1,0,0,1,3,2,2,0,0,0,0,5,2,0,3,0,0,0,0,0,1,0,7,0,2,0,0,0,1,4,2,2,2,0,2,0,2,1,0,4,0,0,0,1,1,0,4,10,0,1,0,1,0,0,0,0,0,3,0,2,1,1,0,10,1,0
1058054,5,1,2,0,0,1,2,2,2,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,6,0,2,0,0,0,1,2,2,2,5,0,2,0,2,1,0,3,0,0,0,1,1,0,3,22,0,1,4,1,0,0,0,0,0,4,1,1,1,1,0,10,1,1
1058055,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,221,0,0,0,0,10,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
1058056,7,1,1,0,0,0,0,2,2,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,4,1,2,0,0,2,0,2,0,4,0,0,0,0,0,6,0,2,22,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,14,6,0
1058057,3,1,1,0,0,4,4,2,2,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,2,2,1,0,2,0,2,3,0,3,0,0,0,1,1,0,3,22,0,1,0,2,0,0,0,0,0,1,0,1,1,1,0,14,1,0
1058058,5,1,1,0,0,1,3,2,2,0,0,0,0,3,3,0,2,0,0,1,0,0,0,0,5,0,2,0,0,0,1,2,1,2,1,0,2,0,2,1,0,3,0,0,0,1,1,0,3,10,0,1,4,1,0,0,0,0,0,3,1,2,1,1,0,14,1,1
1058059,5,11,1,0,0,3,0,2,2,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,10,0,2,2,2,0,0,4,2,2,2,0,2,0,2,1,4,2,0,0,0,0,6,0,2,10,0,4,0,1,0,1,0,0,3,0,0,1,1,2,0,10,2,0
1058060,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,0,8,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1058061,5,1,2,0,0,3,3,2,2,0,0,0,0,3,3,0,2,0,0,1,0,0,0,0,9,0,2,0,0,0,1,2,1,2,1,0,2,0,2,0,0,3,0,0,0,1,1,0,3,10,0,1,4,3,0,0,0,0,0,4,1,2,1,1,0,11,1,1
1058062,7,0,1,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,4,1,1,0,0,1,0,2,1,4,0,5,0,0,0,6,0,2,10,0,3,0,1,0,1,0,0,0,0,0,0,2,2,0,5,6,0
1058063,2,1,1,0,0,1,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,7,0,2,2,4,0,0,4,2,2,2,0,2,0,2,2,4,2,2,0,223,0,6,1,2,10,1,6,0,2,0,1,0,0,3,0,0,1,1,2,0,8,1,0
1058064,5,1,1,0,0,1,3,2,2,0,1,0,0,4,5,0,2,0,0,0,0,0,0,0,9,0,2,0,2,0,1,2,2,2,3,0,2,0,2,1,0,3,0,0,0,1,1,0,3,22,0,4,7,1,0,0,0,0,0,5,0,2,1,1,0,10,1,1
1058065,4,1,1,0,0,1,4,2,2,0,0,3,0,3,3,0,2,0,0,0,0,0,0,0,4,0,2,0,2,0,1,4,2,2,2,0,2,0,2,1,2,3,2,0,0,1,1,0,3,10,0,4,0,1,0,1,2,1,0,4,0,2,1,1,0,11,1,0
1058066,4,11,1,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,1,3,0,1,0,0,0,6,0,0,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,6,0
1058067,4,9,1,0,3,1,3,2,2,1,0,0,0,3,3,6,1,0,0,0,0,0,0,0,7,0,1,0,0,0,1,4,2,2,3,0,2,3,2,1,0,2,0,0,0,1,1,0,2,51,0,1,0,1,0,0,0,0,0,6,0,2,1,1,0,10,1,0
1058068,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,4,0,2,0,111,0,0,1,0,10,1,0,0,3,0,1,0,0,0,0,0,0,0,2,0,2,0,0
1058069,5,3,1,0,4,1,5,2,2,0,0,3,3,1,1,5,1,0,0,0,0,0,0,0,8,0,2,0,0,0,2,4,1,2,3,0,2,4,2,1,4,2,1,0,0,0,1,0,2,52,0,1,0,1,0,1,0,0,0,6,0,2,1,1,0,4,1,0
1058070,7,1,1,0,4,0,0,2,2,3,0,5,6,0,0,8,0,0,0,0,0,0,1,0,0,0,1,2,3,0,0,4,1,2,0,0,2,4,2,1,4,0,0,0,0,0,6,0,2,52,0,5,0,1,0,1,0,0,3,0,0,0,2,2,0,7,6,0
1058071,3,1,1,0,0,1,3,2,2,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,1,4,2,2,1,0,2,0,2,0,0,3,0,0,0,1,1,0,3,10,0,1,0,1,0,0,0,0,0,5,0,2,1,1,0,7,1,0
1058072,4,1,2,0,0,1,2,2,2,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,4,0,2,0,4,0,1,4,1,2,1,0,2,0,2,1,0,3,2,0,0,1,1,0,3,22,0,6,0,1,0,0,0,0,0,5,0,1,1,1,0,14,1,0
1058073,7,11,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,0,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,7,0
1058074,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,111,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1058075,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,1,4,0,2,0,111,0,0,1,0,24,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0
1058076,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,133,0,0,1,0,10,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1058077,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,121,0,0,1,0,10,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1058078,3,2,2,0,0,3,1,2,2,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,3,0,2,0,4,0,1,4,1,2,6,0,2,0,2,0,0,3,2,0,0,2,1,0,3,10,0,6,0,1,0,0,0,0,0,4,0,2,1,1,0,10,1,0
1058079,3,1,1,0,0,4,5,2,2,0,0,0,0,4,5,0,2,0,0,0,0,0,0,0,10,0,2,0,0,0,1,4,2,2,3,0,2,0,2,2,0,3,7,3,0,1,1,0,3,10,0,1,0,1,0,0,1,1,0,3,0,1,1,1,0,14,1,0
1058080,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,2,4,0,2,0,121,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
1058081,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,121,0,0,1,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1058082,7,1,2,0,0,1,0,2,2,0,0,0,0,3,3,0,2,0,0,0,1,1,0,0,6,0,2,0,2,0,11,4,1,2,2,0,2,0,2,1,0,3,0,0,0,0,1,0,3,10,0,4,0,1,0,0,0,0,0,0,0,2,1,1,0,11,1,0
1058083,3,3,2,0,0,1,0,2,2,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,3,0,2,2,4,0,0,4,1,2,5,0,2,0,2,1,0,2,2,0,0,0,6,0,2,21,0,6,0,3,0,0,0,0,3,0,0,1,1,2,0,11,2,0
1058084,3,0,1,0,0,1,2,2,2,0,0,0,0,5,5,0,2,0,0,0,0,0,0,0,6,0,2,0,0,0,1,4,2,2,6,0,2,0,2,3,0,3,0,0,0,1,1,0,3,23,0,1,0,1,0,0,0,0,0,5,0,2,1,1,0,11,1,0
1058085,4,3,1,0,0,1,3,2,2,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,4,1,2,6,0,2,0,2,2,0,3,0,0,0,1,1,0,3,10,0,1,0,1,0,0,0,0,0,3,0,2,1,1,0,10,1,0
1058086,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,221,0,0,1,0,23,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1058087,4,9,1,0,4,1,0,2,2,3,0,3,0,0,0,2,0,0,0,1,0,0,0,0,4,0,1,2,0,0,0,4,2,2,2,0,2,3,2,1,2,0,1,0,0,0,6,0,2,52,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,4,0
1058088,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1058089,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,122,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1058090,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1058091,7,0,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,0,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,6,0
1058092,6,1,1,0,0,7,4,2,2,0,0,0,0,5,5,0,3,0,0,1,0,0,0,0,8,0,2,0,0,0,1,2,1,2,2,1,2,0,2,1,0,4,0,0,0,1,1,0,5,22,0,1,11,1,0,0,0,0,0,2,0,1,1,1,0,10,1,1
1058093,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,121,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1058094,3,1,2,0,0,1,2,2,2,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,1,4,2,2,6,0,2,0,2,1,0,2,7,1,0,1,1,0,2,10,0,1,0,1,0,0,1,1,0,2,0,2,1,1,0,11,1,0
1058095,5,1,1,0,2,3,3,2,2,1,0,0,0,4,3,10,2,0,0,0,0,0,0,0,9,0,1,0,0,0,1,2,1,2,1,0,2,2,2,2,0,3,0,0,0,1,1,0,3,40,0,1,4,1,0,0,0,0,0,2,1,2,1,1,0,15,1,1
1058096,4,3,1,0,4,1,3,1,2,2,0,0,3,3,3,6,1,0,0,0,0,0,0,1,6,0,1,0,2,0,10,4,2,2,2,0,2,4,2,2,0,2,0,0,0,0,1,0,3,52,0,4,0,3,0,0,0,0,0,1,0,1,1,1,0,11,1,0
1058097,4,3,1,4,4,1,0,2,2,4,0,0,3,3,0,4,1,0,0,0,0,0,0,0,4,0,1,1,0,0,0,4,1,2,5,0,2,4,1,1,0,2,4,0,0,0,3,0,2,52,0,2,0,1,0,0,0,0,3,0,0,1,1,2,0,4,1,0
1058098,7,3,1,0,0,0,0,1,1,2,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,1,1,0,0,1,0,2,1,0,0,0,0,0,0,6,0,2,10,0,3,0,1,0,0,0,0,0,0,0,0,2,2,0,9,6,0
1058099,2,1,1,0,0,1,3,2,2,0,0,1,0,3,3,0,1,0,0,0,0,0,0,0,7,0,2,0,4,0,1,4,1,2,2,0,2,0,2,2,4,2,2,0,0,2,1,0,2,10,0,6,0,1,0,1,0,0,0,2,0,2,1,1,0,9,1,0
1058100,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,111,0,0,1,0,10,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0
1058101,3,1,1,0,0,1,5,2,2,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,7,0,2,0,4,0,1,4,2,2,2,0,2,0,2,1,4,2,0,0,0,1,1,0,2,21,0,6,0,2,0,1,0,0,0,6,0,2,1,1,0,11,1,0
1058102,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,112,0,0,1,0,21,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1058103,2,11,1,4,0,1,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,2,1,4,0,0,4,2,2,5,0,2,0,2,0,0,2,3,0,0,0,3,0,2,10,0,6,0,1,0,0,0,0,3,0,0,1,1,2,0,10,2,0
1058104,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,4,2,2,0,0,2,0,121,0,0,1,0,40,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1058105,3,11,1,0,0,4,3,2,2,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,9,0,2,0,4,0,10,4,1,2,1,0,2,0,2,0,4,3,2,0,0,0,1,0,3,10,0,6,0,1,0,1,0,0,0,1,0,1,1,1,0,15,1,0
1058106,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,223,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1058107,5,1,1,0,0,7,4,2,2,0,1,0,0,5,5,0,3,0,0,0,0,0,0,0,8,0,2,0,0,0,1,2,1,2,2,0,2,0,2,2,0,4,0,0,0,1,1,0,4,10,0,1,7,1,0,0,0,0,0,1,0,2,1,1,0,11,1,1
1058108,3,11,1,0,0,1,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,2,2,4,0,0,4,1,2,5,0,1,0,2,2,0,2,2,0,0,0,6,0,2,10,0,6,0,2,0,0,0,0,3,0,0,1,1,2,0,11,2,0
